prospect_id,organization_name,website,country,organization_type,sector_guess,decision_maker_name,target_email,custom_page_paths_csv,booking_link_45min,commercial_priority_default,research_scope,outreach_attempt_count,last_response_status,last_sequence_result,stop_reason,paused,do_not_contact,niche_status,next_action_at,notes_internal
prospect-001,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-002,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-003,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-004,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-005,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-006,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-007,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-008,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-009,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-010,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-011,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-012,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-013,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-014,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-015,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-016,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-017,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-018,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-019,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-020,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-021,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-022,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-023,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-024,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-025,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-026,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-027,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-028,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-029,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-030,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-031,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-032,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
prospect-033,,,Côte d'Ivoire,organisation à qualifier,secteur à confirmer,Décideur à confirmer,,,"https://calendly.com/transferai/45min",tier1,public_web_only,0,,,,false,false,candidate,,
