prospect_id,organization_name,website,country,organization_type,sector_guess,decision_maker_name,target_email,custom_page_paths_csv,booking_link_45min,commercial_priority_default,research_scope,source_backend,source_label,raw_source_id,niche_status,status,paused,last_sequence_result,last_response_status,stop_reason,next_action_at,created_at,updated_at
ci-orange-c-te-d-ivoire-001,Orange Côte d'Ivoire,https://www.orange.ci,Côte d'Ivoire,Entreprise privée multinationale,Télécommunications,Directeur Général,direction@orange.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Télécommunications,,support_it_intelligent,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-mtn-c-te-d-ivoire-002,MTN Côte d'Ivoire,https://www.mtn.ci,Côte d'Ivoire,Entreprise privée multinationale,Télécommunications,Directeur Général,contact@mtn.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Télécommunications,,support_it_intelligent,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-moov-africa-c-te-d-ivoire-003,Moov Africa Côte d'Ivoire,https://www.moov-africa.ci,Côte d'Ivoire,Entreprise privée multinationale,Télécommunications,Directeur Général,service.client@moov-africa.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Télécommunications,,support_it_intelligent,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-wave-mobile-money-004,Wave Mobile Money,https://www.wave.com/fr/,Côte d'Ivoire,Entreprise privée internationale,Fintech / Mobile Money,Directeur Général CI,contact@wave.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Fintech / Mobile Money,,reporting_financier_assiste,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-canal-c-te-d-ivoire-005,Canal+ Côte d'Ivoire,https://www.canalplus-afrique.com,Côte d'Ivoire,Entreprise privée multinationale,Médias / Télécoms,Directeur Général,contact@canalplus.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Médias / Télécoms,,machine_contenu_marketing,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-sgbci-006,SGBCI,https://www.sgbci.ci,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@sgbci.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-bni-banque-nationale-d-investissement-007,BNI — Banque Nationale d'Investissement,https://www.bni.ci,Côte d'Ivoire,Banque d'État,Banque / Finance,Directeur Général,contact@bni.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-bicici-008,BICICI,https://www.bicici.ci,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@bicici.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-ecobank-c-te-d-ivoire-009,Ecobank Côte d'Ivoire,https://www.ecobank.com/ci,Côte d'Ivoire,Banque privée internationale,Banque / Finance,Directeur Général,ecobank.ci@ecobank.com,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
ci-nsia-banque-010,NSIA Banque,https://www.nsiabanque.ci,Côte d'Ivoire,Banque privée,Banque / Finance,Directeur Général,contact@nsiabanque.ci,,https://calendly.com/transferai/45min,tier1,public_web_only,crm_import_ci_200,Prospection CI — Banque / Finance,,banque_kyc_reporting,ready,False,,,,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z,2026-06-12T23:49:44.974418Z
